Geo Point;id_ref_zdl;codeunique;nom_long;label;idrefliga;idrefligc;res_com;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;exploitant;principal;idf;x;y
48.4824105013,1.52235765163;411504;479.0;LA VILLETTE-SAINT-PREST;LA VILLETTE-SAINT-PREST;;;GL;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;590807.7293;6821260.6841
48.2863911796,3.20189382787;411458;489.0;PONT-SUR-YONNE;PONT-SUR-YONNE;;;GL;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;714975.765;6798470.246
48.1376108053,3.28974196062;411455;490.0;ETIGNY-VERON;ETIGNY VERON;;;GL;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;721552.675;6781955.5177
47.9734303157,3.39286472634;411467;494.0;JOIGNY;JOIGNY;;;GL;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;729314.2583;6763744.1589
49.0329720468,2.33682968984;43120;254.0;DOMONT;DOMONT;A01849;C01737;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;651506.0056;6881657.2116
48.9960068278,2.36868456283;43190;261.0;SARCELLES-SAINT-BRICE;SARCELLES SAINT-BRICE;A01849;C01737;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;653802.459;6877527.3006
49.0794702322,2.35083083084;47522;263.0;VILLAINES;VILLAINES;A01849;C01737;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;652572.3229;6886819.8578
49.1140619506,2.28791534354;47946;268.0;PRESLES-COURCELLES;PRESLES COURCELLES;A01849;C01737;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;648010.5913;6890706.6158
49.114783971,2.21001986928;47589;273.0;L'ISLE-ADAM-PARMAIN;L'ISLE-ADAM-PARMAIN;A01849;C01737;LIGNE H;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;642324.4147;6890841.0083
48.8183876405,2.29206181727;43214;286.0;VANVES-MALAKOFF;VANVES-MALAKOFF;A01847;C01736;LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;648018.5284;6857824.3592
48.8212170379,2.21485979135;43195;290.0;SEVRES RIVE GAUCHE;SÈVRES RIVE GAUCHE;A01847;C01736;LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;642353.1543;6858192.5418
48.8457430696,2.3399279984;43833;296.0;LUXEMBOURG;LUXEMBOURG;A01857;C01743;RER B;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651558.5194;6860835.528
48.807492624,2.24088306664;43163;319.0;MEUDON-VAL-FLEURY;MEUDON VAL FLEURY;A01840;C01727;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;644249.1142;6856647.9
48.8565315515,2.27516715469;45453;334.0;BOULAINVILLIERS;BOULAINVILLIERS;A01840;C01727;RER C;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;646816.9784;6862076.775
48.8721574949,2.32992717061;45873;336.0;AUBER;AUBER;A01856;C01742;RER A;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650849.5187;6863778.7626
48.9421254551,2.35672974153;58637;1714.0;BAUDELAIRE;Baudelaire;A01760;C01684;T5;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;652878.8514;6871542.6008
48.973659013,2.36605171568;58640;1705.0;BUTTE PINSON;Butte pinson;A01760;C01684;T5;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;653589.8476;6875043.6652
48.955576348,2.35832285615;58638;1710.0;JONCHEROLLES;Joncherolles;A01760;C01684;T5;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;653007.7037;6873037.4004
48.7684217766,1.51333305235;411495;497.0;MARCHEZAIS BROUE;MARCHEZAIS BROUE;A01847;C01736;LIGNE N;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;590739.5412;6853064.277
48.0965027788,2.77230261766;411488;499.0;FERRIERES FONTENAY;FERRIÈRES FONTENAY;A01845;C01731;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;683049.37;6777372.056
48.1472180399,2.7627283872;58955;498.0;DORDIVES;DORDIVES;A01845;C01731;LIGNE R;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;682353.5667;6783010.1637
49.2825897349,1.81808238251;411338;507.0;TRIE-CHATEAU;TRIE CHÂTEAU;A01852;C01739;LIGNE J;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;613990.6432;6909861.4764
49.202693603,1.92054770607;411348;510.0;LA VILLETERTRE;LA VILLETERTRE;A01852;C01739;LIGNE J;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;621325.173;6900868.1825
49.2310180602,2.88736670498;411396;511.0;CREPY-EN-VALOIS;CREPY-EN-VALOIS;A02175;C01738;LIGNE K;Train;1;1;0;0;0;0;0;TRAIN_K;TRAIN_K;0;0;0;0;0;SNCF;0;0;691795.0734;6903486.8914
48.9919382203,3.36492712887;411381;518.0;CHEZY-SUR-MARNE;CHEZY-SUR-MARNE;A01844;C01730;LIGNE P;Train;1;1;0;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;0;726706.4208;6876951.868
48.9357480421,2.33910838701;46331;1026.0;L ILE-SAINT-DENIS;L'île-Saint-Denis;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;651582.1374;6870844.0954
48.9356057093,2.33433291316;46332;1027.0;MAIRIE DE VILLENEUVE-LA-GARENNE;Mairie de Villeneuve-la-Garenne;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;651232.1542;6870831.2069
48.9495813451,2.34252182604;50572;117062.0;CESAR;César;A02150;C01795;T8;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;651845.0136;6872380.2698
48.9478076496,2.33918092342;59325;117066.0;BLUMENTHAL;Blumenthal;A02150;C01795;T8;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;651598.6744;6872185.0766
48.9499377357,2.32883217135;47362;117067.0;LES MOBILES;Les Mobiles;A02150;C01795;T8;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;650842.7173;6872428.3361
48.9531682468,2.31540361211;415806;117069.0;ROSE BERTIN;Rose Bertin;A02150;C01795;T8;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;649862.3296;6872796.014
48.9555044771,2.2955916949;50483;117072.0;EPINAY-ORGEMONT;Epinay-Orgemont;A02150;C01795;T8;Tramway;0;0;0;0;1;0;0;0;0;0;0;T8;0;0;RATP;1;1;648413.7231;6873068.5658
48.7944688845,2.27265034466;42850;117055.0;DIVISION LECLERC;Division Leclerc;A02149;C01794;T6;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;646568.7529;6855177.8986
48.7903330019,2.26338916602;44838;117054.0;SOLEIL LEVANT;Soleil Levant;A02149;C01794;T6;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;645884.1547;6854724.362
48.8966643963,2.24007925205;58496;1505.0;FAUBOURG DE L ARCHE;Faubourg de l'Arche;A01192;C01390;T2;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;644285.5052;6866563.4258
48.8724040944,2.40857757742;58502;1601.0;ADRIENNE BOLLAND;Adrienne Bolland;A01757;C01679;T3B;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;656618.6914;6863760.0997
48.8675213572,2.40897893974;45629;1602.0;SEVERINE;Séverine;A01757;C01679;T3B;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;656644.0673;6863216.9519
48.8587040102,2.40968568697;58503;1603.0;MARIE DE MIRIBEL;Marie de Miribel;A01757;C01679;T3B;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;656688.582;6862236.1407
48.8303885897,2.39344969832;58730;1316.0;BARON LE ROY;Baron Le Roy;A01193;C01391;T3A;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;655473.1841;6859096.7621
48.8794703691,2.40122176128;45616;1604.0;HOPITAL ROBERT DEBRE;Hôpital Robert Debré;A01757;C01679;T3B;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;656085.105;6864549.8917
48.8974328495,2.39504174968;58499;1607.0;ELLA FITZGERALD;Ella Fitzgerald;A01757;C01679;T3B;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;655647.1692;6866550.6837
48.8986011722,2.36903694932;44503;1610.0;PORTE D AUBERVILLIERS;Porte d'Aubervilliers;A01757;C01679;T3B;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;653741.6915;6866695.5168
48.8984911016,2.36365138218;45538;1611.0;COLETTE BESSON;Colette Besson;A01757;C01679;T3B;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;1;1;653346.7649;6866686.4459
48.9375098964,2.35040001854;44937;1001.0;THEATRE GERARD PHILIPE;Théâtre Gérard Philipe;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;652410.9714;6871033.1479
48.9063747703,2.44918990449;42345;105037.0;BOBIGNY-PABLO PICASSO;Bobigny-P. Picasso;A01538 / A01191;C01375 / C01389;M5 / T1;Metro / Tramway;0;0;0;1;1;0;0;0;0;0;M5;0;0;0;RATP;0;1;659623.938;6867515.9438
48.8983929533,2.35939390112;44517;112085.0;PORTE DE LA CHAPELLE;Porte de la Chapelle;A01545 / A01757;C01382 / C01679;M12 / T3B;Metro / Tramway;0;0;0;1;1;0;0;0;0;0;0;0;0;0;RATP;0;1;653034.5504;6866678.0561
48.8759331524,2.32572796139;58566;329.0;SAINT-LAZARE;SAINT-LAZARE;A01852 / A02176 / A01843 / A01536 / A01545 / A01546 / A01547;C01739 / C01740 / C01729 / C01373 / C01382 / C01383 / C01384;LIGNE J / LIGNE L / RER E / M3 / M12 / M13 / M14;Train / RER / Metro;1;1;1;1;0;0;0;TRAIN_J / TRAIN_L / RER_E;TRAIN_J / TRAIN_L;RER_E;M14;0;0;0;RATP/SNCF;1;1;650545.0952;6864201.2102
48.8772136604,2.40660986512;44529;111035.0;PORTE DES LILAS;Porte des Lilas;A01549 / A01544 / A01757;C01386 / C01381 / C01679;M3bis / M11 / T3B;Metro / Tramway;0;0;0;1;1;0;0;0;0;0;M3bis;0;0;0;RATP;0;1;656478.3798;6864295.976
48.8645851911,2.40875994842;44510;103035.0;PORTE DE BAGNOLET;Porte de Bagnolet;A01536 / A01757;C01373 / C01679;M3 / T3B;Metro / Tramway;0;0;0;1;1;0;0;0;0;0;0;0;0;0;RATP;0;1;656625.5583;6862890.5915
48.8342929805,2.33285230996;42835;297.0;DENFERT-ROCHEREAU;DENFERT-ROCHEREAU;A01857 / A01537 / A01539;C01743 / C01374 / C01376;RER B / M4 / M6;RER / Metro;1;0;1;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651028.503;6859566.7636
48.8301196393,2.26368964874;43410;317.0;ISSY-VAL DE SEINE;ISSY VAL DE SEINE;A01840 / A01192;C01727 / C01390;RER C / T2;RER / Tramway;1;0;1;0;1;0;0;0;0;0;0;0;0;0;RATP/SNCF;0;1;645947.4807;6859147.8563
48.8202676123,2.33897517958;45339;306.0;CITE UNIVERSITAIRE;CITÉ UNIVERSITAIRE;A01857 / A01193;C01743 / C01391;RER B / T3A;RER / Tramway;1;0;1;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;651464.8822;6858003.5283
48.8107464877,2.30167855683;42588;114033.0;CHATILLON-MONTROUGE;Châtillon-Montrouge;A01546 / A02149;C01383 / C01794;M13 / T6;Metro / Tramway;0;0;0;1;1;0;0;0;0;0;M13;T6;0;0;RATP;1;1;648717.1203;6856968.4785
48.8833623419,2.23378168065;43184;379.0;PUTEAUX;PUTEAUX;A02176 / A01855 / A01192;C01740 / C01741 / C01390;LIGNE L / LIGNE U / T2;Train / Tramway;1;1;0;0;1;0;0;0;0;0;0;0;0;0;RATP/SNCF;0;1;643809.4527;6865088.7904
48.8773496006,2.28379555701;44533;331.0;PORTE MAILLOT;PORTE MAILLOT;A01840 / A01534;C01727 / C01371;RER C / M1;RER / Metro;1;0;1;1;0;0;0;0;0;0;0;0;0;0;RATP/SNCF;0;1;647471.0472;6864385.7878
48.9332654061,2.04107228968;47874;136.0;POISSY;POISSY;A01852 / A01856;C01739 / C01742;LIGNE J / RER A;Train / RER;1;1;1;0;0;0;0;RER_A;0;RER_A;0;0;0;0;SNCF;1;1;629745.1416;6870791.9926
48.9850047013,2.25747415588;43105;228.0;CERNAY;CERNAY;A01849 / A01840;C01737 / C01727;LIGNE H / RER C;Train / RER;1;1;1;0;0;0;0;0;0;0;0;0;0;0;SNCF;0;1;645653.1719;6876374.6171
49.0466457626,2.09519506723;44496;249.0;PONTOISE;PONTOISE;A01849 / A01852 / A01840;C01737 / C01739 / C01727;LIGNE H / LIGNE J / RER C;Train / RER;1;1;1;0;0;0;0;TRAIN_H / RER_C;TRAIN_H;RER_C;0;0;0;0;SNCF;1;1;633854.6907;6883353.2516
48.9045730665,2.55501426701;477277;528.0;Clichy - Montfermeil;Clichy - Montfermeil;A01761;C01843;T4;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SNCF;0;1;667379.966;6867266.6842
48.8454707076,2.42920516635;42318;101035.0;BERAULT;Bérault;A01534;C01371;M1;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;658110.066;6860754.1783
48.8463569889,2.41947990037;47247;101037.0;SAINT-MANDE;Saint-Mandé;A01534;C01371;M1;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;657397.0779;6860857.928
48.8552362528,2.36095648866;44881;101049.0;SAINT-PAUL (LE MARAIS);Saint-Paul;A01534;C01371;M1;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653110.2705;6861878.3873
48.8575515533,2.35129220933;415851;101051.0;HOTEL DE VILLE;Hôtel de Ville;A01534 / A01544;C01371 / C01381;M1 / M11;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652403.2862;6862141.6107
48.8668000351,2.38338325046;44133;102043.0;MENILMONTANT;Ménilmontant;A01535;C01372;M2;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;654765.838;6863151.1043
48.9299710262,2.38475886144;46100;1007.0;SIX ROUTES;Six routes;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;654921.4807;6870174.6698
48.8925047614,2.49938845729;46516;362.0;LES COQUETIERS;Les Coquetiers;A01761;C01843;T4;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;SNCF;0;1;663293.8153;6865949.1405
48.9386164837,2.3561784586;44095;1002.0;MARCHE DE SAINT-DENIS;Marché de Saint-Denis;A01191 / A01760;C01389 / C01684;T1 / T5;Tramway;0;0;0;0;1;0;0;0;0;0;0;T5;0;0;RATP;0;1;652835.2879;6871152.7329
48.8431243999,2.22185149475;44249;323.0;PARC DE SAINT-CLOUD;Parc de Saint-Cloud;A01192;C01390;T2;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;642890.4899;6860623.278
48.9047032038,2.46997154361;44471;1023.0;PONT DE BONDY;Pont de Bondy;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;661146.0246;6867319.644
48.8286719395,2.30085182613;42387;1305.0;PORTE DE BRANCION;Brancion;A01193;C01391;T3A;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;648674.0565;6858962.0927
48.8839585726,2.33192658953;42337;102063.0;BLANCHE;Blanche;A01535;C01372;M2;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;651007.2768;6865089.7194
48.8653353173,2.41669727286;47890;103033.0;GALLIENI (PARC DE BAGNOLET);Gallieni;A01536;C01373;M3;Metro;0;0;0;1;0;0;0;0;0;0;M3;0;0;0;RATP;0;1;657208.4603;6862969.6694
48.8649166851,2.39898444025;43055;103037.0;GAMBETTA;Gambetta;A01536 / A01549;C01373 / C01386;M3 / M3bis;Metro;0;0;0;1;0;0;0;0;0;0;M3bis;0;0;0;RATP;0;1;655908.7036;6862932.8653
48.8640865748,2.38079798618;45194;103041.0;SAINT-MAUR;Rue Saint-Maur;A01536;C01373;M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;654573.8244;6862850.872
48.8828919175,2.30905226455;59370;103069.0;MALESHERBES;Malesherbes;A01536;C01373;M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;649328.8075;6864985.5498
48.8838092012,2.30467444053;45508;103071.0;WAGRAM;Wagram;A01536;C01373;M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;649008.6628;6865090.3639
48.8857931052,2.2925823141;44511;103075.0;PORTE DE CHAMPERRET;Porte de Champerret;A01536;C01373;M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;648123.8929;6865318.8375
48.892082786,2.28500950275;42195;103079.0;ANATOLE FRANCE;Anatole France;A01536;C01373;M3;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;647574.9141;6866023.2122
48.8873749079,2.34969408224;42585;104035.0;CHATEAU ROUGE;Château Rouge;A01537;C01374;M4;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;652313.3429;6865458.7186
48.8516722456,2.33125629137;45120;104063.0;SAINT-SULPICE;Saint-Sulpice;A01537;C01374;M4;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650927.7173;6861500.1493
48.8311126604,2.32970501262;44183;104075.0;MOUTON-DUVERNET;Mouton-Duvernet;A01537;C01374;M4;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;650794.4816;6859215.1047
48.8384272961,2.36096716635;44875;105077.0;SAINT-MARCEL;Saint-Marcel;A01538;C01375;M5;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;653095.9281;6860009.3864
48.9227111893,2.40662275371;46115;1010.0;DANTON;Danton;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;656517.3437;6869355.1236
48.9177837253,2.41769109334;42866;1013.0;DRANCY-AVENIR;Drancy-Avenir;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;657324.3755;6868801.1591
48.9127049753,2.43542099299;47347;1016.0;ESCADRILLE NORMANDIE-NIEMEN;Escadrille Normandie-Niémen;A01191;C01389;T1;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;RATP;0;1;658619.6847;6868226.9754
48.864766845,2.3009910035;42182;109047.0;ALMA-MARCEAU;Alma-Marceau;A01542;C01379;M9;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;648719.8026;6862975.3829
48.851812133,2.40102227052;42410;109083.0;BUZENVAL;Buzenval;A01542;C01379;M9;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;656047.1453;6861474.6081
48.8420053473,2.23888732852;42380;110025.0;BOULOGNE-JEAN JAURES;Boulogne-Jean Jaurès;A01543;C01380;M10;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;644139.5373;6860486.666
48.8719936918,2.3770297767;42311;111045.0;BELLEVILLE;Belleville;A01535 / A01544;;M2 / M11;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;654304.3217;6863732.2601
48.8373074919,2.29663033782;42751;112037.0;CONVENTION;Convention;A01545;C01382;M12;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;648372.7094;6859925.0169
48.8395165854,2.30110751488;44995;112039.0;VAUGIRARD (ADOLPHE CHERIOU);Vaugirard;A01545;C01382;M12;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;RATP;0;1;648703.4994;6860167.7255
